"family","config_id","stage","entry_point","backbone","varied_params","wall_clock_sec","platform","gpu","pytorch","cuda","coverage_status","notes"
"Auto-Encoder","ae_comp4_lin64","training","train_ae.py","AENet","latent=4; hidden=64","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Auto-Encoder","ae_comp4_lin128","training","train_ae.py","AENet","latent=4; hidden=128","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Auto-Encoder","ae_comp4_lin256","training","train_ae.py","AENet","latent=4; hidden=256","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Auto-Encoder","ae_comp8_lin64","training","train_ae.py","AENet","latent=8; hidden=64","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Auto-Encoder","ae_comp8_lin128","training","train_ae.py","AENet","latent=8; hidden=128","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Auto-Encoder","ae_comp8_lin256","training","train_ae.py","AENet","latent=8; hidden=256","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Auto-Encoder","ae_comp16_lin64","training","train_ae.py","AENet","latent=16; hidden=64","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Auto-Encoder","ae_comp16_lin128","training","train_ae.py","AENet","latent=16; hidden=128","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Auto-Encoder","ae_comp16_lin256","training","train_ae.py","AENet","latent=16; hidden=256","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Classification (CE)","ce_resnet18","training","train_classifier.py","ResNet18","backbone=ResNet18","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
